id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-05-30T17:18:50;RAM Focused;PAID;CASH_ON_DELIVERY;2020-05-31T01:40:57;64379;Australia 1080p Intranet;1
2;2020-05-30T14:33:06;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-05-30T18:28:47;8068;Baby;2
3;2020-05-31T00:14:54;monitor;CANCELLED;CREDIT_CARD;2020-05-30T16:06:16;97394;Rubber synergy program;3
4;2020-05-30T12:48:56;EXE parse strategic;CANCELLED;PAYPAL;2020-05-30T16:54:06;2286;HTTP;4
5;2020-05-30T09:04:07;black Awesome;PAID;CASH_ON_DELIVERY;2020-05-30T09:06:01;49531;Agent SDD auxiliary;5
6;2020-05-30T19:36:41;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-05-30T11:28:51;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-05-30T22:10:17;back up Toys;ISSUED;PAYPAL;2020-05-31T01:05:56;10756;Arizona Awesome Fresh Soap system;7
8;2020-05-30T18:42:27;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-05-30T18:31:30;50263;deploy;8
9;2020-05-30T12:32:25;Credit Card Account;CANCELLED;CREDIT_CARD;2020-05-30T22:55:34;308;payment Fantastic Fresh Soap;9
10;2020-05-30T22:56:48;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-05-31T02:42:37;94911;Granite Rubber Pizza;10
