id;placed_date;status;code;customer_id
1;2020-05-31T00:40:50;COMPLETED;Georgia calculate withdrawal;1
2;2020-05-30T11:37:20;COMPLETED;compress Steel out-of-the-box;2
3;2020-05-30T13:08:32;PENDING;Concrete;3
4;2020-05-31T02:34:27;CANCELLED;Investment Account;4
5;2020-05-30T13:51:17;PENDING;United States of America;1
6;2020-05-31T04:03:21;CANCELLED;IB Industrial Credit Card Account;2
7;2020-05-31T07:09:46;CANCELLED;Cotton Egyptian Pound;3
8;2020-05-30T16:05:50;COMPLETED;Home Loan Account;4
9;2020-05-31T01:00:06;COMPLETED;Human;1
10;2020-05-30T11:08:44;CANCELLED;payment;2
