id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-05-30T10:07:00;payment unleash Jamaican Dollar;1
2;Rest;2020-05-31T05:23:30;Plains;2
3;Quality Plastic plum;2020-05-30T09:43:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-05-31T06:11:04;Architect SSL;4
5;zero tolerance;2020-05-31T03:07:23;user-facing CSS;5
6;ADP Ouguiya;2020-05-30T23:03:51;Garden;6
7;auxiliary;2020-05-31T07:19:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-05-30T10:17:52;Viaduct hybrid;8
9;mesh;2020-05-31T08:43:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-05-31T06:42:25;Re-engineered withdrawal Ball;10
